entity_id,state,last_changed
sensor.lixee_zlinky_tic_puissance_apparente,1001,2026-07-17T22:34:24.705Z
sensor.lixee_zlinky_tic_puissance_apparente,1000,2026-07-17T22:34:31.745Z
sensor.lixee_zlinky_tic_puissance_apparente,1003,2026-07-17T22:34:44.786Z
sensor.lixee_zlinky_tic_puissance_apparente,1007,2026-07-17T22:34:50.809Z
sensor.lixee_zlinky_tic_puissance_apparente,1004,2026-07-17T22:34:56.828Z
sensor.lixee_zlinky_tic_puissance_apparente,1002,2026-07-17T22:35:03.860Z
sensor.lixee_zlinky_tic_puissance_apparente,1007,2026-07-17T22:35:16.913Z
sensor.lixee_zlinky_tic_puissance_apparente,1009,2026-07-17T22:35:22.924Z
sensor.lixee_zlinky_tic_puissance_apparente,1007,2026-07-17T22:35:29.976Z
sensor.lixee_zlinky_tic_puissance_apparente,1003,2026-07-17T22:35:35.996Z
sensor.lixee_zlinky_tic_puissance_apparente,1002,2026-07-17T22:35:42.014Z
sensor.lixee_zlinky_tic_puissance_apparente,1102,2026-07-17T22:35:49.055Z
sensor.lixee_zlinky_tic_puissance_apparente,1096,2026-07-17T22:35:55.068Z
sensor.lixee_zlinky_tic_puissance_apparente,1090,2026-07-17T22:36:02.100Z
sensor.lixee_zlinky_tic_puissance_apparente,1087,2026-07-17T22:36:08.120Z
sensor.lixee_zlinky_tic_puissance_apparente,1084,2026-07-17T22:36:15.145Z
sensor.lixee_zlinky_tic_puissance_apparente,1085,2026-07-17T22:36:21.169Z
sensor.lixee_zlinky_tic_puissance_apparente,1080,2026-07-17T22:36:28.190Z
sensor.lixee_zlinky_tic_puissance_apparente,1079,2026-07-17T22:36:34.219Z
sensor.lixee_zlinky_tic_puissance_apparente,1072,2026-07-17T22:36:40.234Z
sensor.lixee_zlinky_tic_puissance_apparente,1071,2026-07-17T22:36:47.269Z
sensor.lixee_zlinky_tic_puissance_apparente,1077,2026-07-17T22:36:53.280Z
sensor.lixee_zlinky_tic_puissance_apparente,1076,2026-07-17T22:37:00.317Z
sensor.lixee_zlinky_tic_puissance_apparente,1073,2026-07-17T22:37:13.355Z
sensor.lixee_zlinky_tic_puissance_apparente,1068,2026-07-17T22:37:19.383Z
sensor.lixee_zlinky_tic_puissance_apparente,1070,2026-07-17T22:37:26.410Z
sensor.lixee_zlinky_tic_puissance_apparente,1075,2026-07-17T22:37:32.432Z
sensor.lixee_zlinky_tic_puissance_apparente,1073,2026-07-17T22:37:45.493Z
sensor.lixee_zlinky_tic_puissance_apparente,1068,2026-07-17T22:37:51.300Z
